Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Ice Cream & Desserts,Whiskas Adult Pocket Tuna Cat Food,4.1,0,1,4.1,1200,FALSE,1,medium,1200
Chocolates & Candies,Whiskas Adult Pocket Tuna Cat Food,4.1,0,1,4.1,1200,FALSE,1,medium,1200
Cooking Essentials,Borges Extra Virgin Olive Oil,4,25,1,2.99,250,FALSE,250,low,250
Munchies,Borges Extra Virgin Olive Oil,4,25,1,2.99,250,FALSE,250,low,250
Health & Hygiene,Kapiva Wild Tulsi Giloy Juice |,4,15,1,3.4,1000,FALSE,1,low,1000
Cooking Essentials,Borges Canola Oil Pet Bottle,3.99,0,6,3.99,1000,FALSE,1,low,6000
Munchies,Borges Canola Oil Pet Bottle,3.99,0,6,3.99,1000,FALSE,1,low,6000
Cooking Essentials,Delight Nuts Berries Mix ,3.99,20,6,3.19,200,FALSE,200,low,1200
Munchies,Delight Nuts Berries Mix ,3.99,20,6,3.19,200,FALSE,200,low,1200
Cooking Essentials,Delight Nuts Trail Mix ,3.99,25,6,2.99,200,FALSE,200,low,1200
Munchies,Delight Nuts Trail Mix ,3.99,25,6,2.99,200,FALSE,200,low,1200
Packaged Food,Kellogg's Special K Original Corn Flakes,3.99,11,6,3.55,900,FALSE,900,low,5400
Ice Cream & Desserts,Kellogg's Special K Original Corn Flakes,3.99,11,6,3.55,900,FALSE,900,low,5400
Chocolates & Candies,Kellogg's Special K Original Corn Flakes,3.99,11,6,3.55,900,FALSE,900,low,5400
Personal Care,Mamaearth Onion Hair Oil,3.99,10,6,3.59,150,FALSE,150,low,900
Paan Corner,Mamaearth Onion Hair Oil,3.99,10,6,3.59,150,FALSE,150,low,900
Personal Care,Mamaearth Ubtan Body Lotion,3.99,15,4,3.39,400,FALSE,400,low,1600
Paan Corner,Mamaearth Ubtan Body Lotion,3.99,15,4,3.39,400,FALSE,400,low,1600
Personal Care,Mamaearth Vitamin C Face Toner,3.99,0,1,3.99,200,FALSE,200,low,200
Paan Corner,Mamaearth Vitamin C Face Toner,3.99,0,1,3.99,200,FALSE,200,low,200
Personal Care,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",3.99,7,0,3.69,26,TRUE,26,low,0
Paan Corner,"MamyPoko Pants Standard Diapers, Extra Large (12 - 17 kg)",3.99,7,0,3.69,26,TRUE,26,low,0
Personal Care,Nivea Body Milk Lotion for Very Dry Skin,3.99,20,6,3.19,400,FALSE,400,low,2400
Paan Corner,Nivea Body Milk Lotion for Very Dry Skin,3.99,20,6,3.19,400,FALSE,400,low,2400
Personal Care,Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil,3.99,20,3,3.19,300,FALSE,300,low,900
Paan Corner,Nivea Soft Light Moisturizer for Face Hand & Body Non-Sticky Cream with Vitamin E & Jojoba Oil,3.99,20,3,3.19,300,FALSE,300,low,900
Health & Hygiene,Organic India Wheat Grass,3.95,20,4,3.16,100,FALSE,100,low,400
Cooking Essentials,24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle,3.9,11,5,3.47,1000,FALSE,1,low,5000
Munchies,24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle,3.9,11,5,3.47,1000,FALSE,1,low,5000
Home & Cleaning,Origami So Soft Tissue Roll 3 Ply,3.9,11,6,3.47,696,FALSE,12,low,4176
Home & Cleaning,Philips Stellar Bright 16W Light Bulb,3.9,16,6,3.24,58,FALSE,1,low,348
Packaged Food,Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish,3.85,9,5,3.47,1100,FALSE,1100,medium,5500
Ice Cream & Desserts,Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish,3.85,9,5,3.47,1100,FALSE,1100,medium,5500
Chocolates & Candies,Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish,3.85,9,5,3.47,1100,FALSE,1100,medium,5500
Cooking Essentials,Amulya Dairy Whitener ,3.8,2,4,3.72,1000,FALSE,1,low,4000
Munchies,Amulya Dairy Whitener ,3.8,2,4,3.72,1000,FALSE,1,low,4000
"Dairy, Bread & Batter",Amulya Dairy Whitener ,3.8,2,4,3.72,1000,FALSE,1,low,4000
Beverages,Amulya Dairy Whitener ,3.8,2,4,3.72,1000,FALSE,1,low,4000
Packaged Food,Ferrero Nutella Hazeulnut Spread,3.8,6,5,3.57,350,FALSE,350,low,1750
Ice Cream & Desserts,Ferrero Nutella Hazeulnut Spread,3.8,6,5,3.57,350,FALSE,350,low,1750
Chocolates & Candies,Ferrero Nutella Hazeulnut Spread,3.8,6,5,3.57,350,FALSE,350,low,1750
Personal Care,Tresemme Keratin Smooth Conditioner,3.8,0,3,3.8,340,FALSE,340,low,1020
Paan Corner,Tresemme Keratin Smooth Conditioner,3.8,0,3,3.8,340,FALSE,340,low,1020
Personal Care,Bombay Shaving Company Sensitive Cartridges,3.75,0,2,3.75,116,FALSE,2,low,232
Paan Corner,Bombay Shaving Company Sensitive Cartridges,3.75,0,2,3.75,116,FALSE,2,low,232
Health & Hygiene,Bombay Shaving Company Sensitive Cartridges,3.75,0,2,3.75,116,FALSE,2,low,232
Personal Care,Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner,3.75,10,6,3.34,340,FALSE,340,low,2040
Paan Corner,Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner,3.75,10,6,3.34,340,FALSE,340,low,2040
Personal Care,Head & Shoulders 2-in-1 Active Protect Shampoo,3.75,9,6,3.38,340,FALSE,340,low,2040
Paan Corner,Head & Shoulders 2-in-1 Active Protect Shampoo,3.75,9,6,3.38,340,FALSE,340,low,2040
Personal Care,Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner,3.75,0,1,3.75,340,FALSE,180,low,340
Paan Corner,Head & Shoulders 2-in-1 Cool Menthol Anti Dandruff Shampoo + Conditioner,3.75,0,1,3.75,340,FALSE,180,low,340
Packaged Food,Kellogg's Real Almond & Honey Corn Flakes,3.7,12,3,3.24,650,FALSE,650,low,1950
Ice Cream & Desserts,Kellogg's Real Almond & Honey Corn Flakes,3.7,12,3,3.24,650,FALSE,650,low,1950
Chocolates & Candies,Kellogg's Real Almond & Honey Corn Flakes,3.7,12,3,3.24,650,FALSE,650,low,1950
